sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,cu_pct,mo_pct,au_gt
PN-C01-001-A0001,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,0.000000000,2.000000000,2.000000000,0.025081057,0.000000000,0.000000000
PN-C01-001-A0002,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,2.000000000,4.000000000,2.000000000,0.026607017,0.000000000,0.000000000
PN-C01-001-A0003,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,4.000000000,6.000000000,2.000000000,0.024245509,0.000000000,0.000000000
PN-C01-001-A0004,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,6.000000000,8.000000000,2.000000000,0.024651990,0.000000000,0.000000000
PN-C01-001-A0005,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,8.000000000,10.000000000,2.000000000,0.026133604,0.000000000,0.000000000
PN-C01-001-A0006,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,10.000000000,12.000000000,2.000000000,0.029717533,0.000000000,0.000000000
PN-C01-001-A0007,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,12.000000000,14.000000000,2.000000000,0.025713206,0.000000000,0.000000000
PN-C01-001-A0008,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,14.000000000,16.000000000,2.000000000,0.023830258,0.000000000,0.000000000
PN-C01-001-A0009,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,16.000000000,18.000000000,2.000000000,0.028454250,0.000000000,0.000000000
PN-C01-001-A0010,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,18.000000000,20.000000000,2.000000000,0.027499264,0.000000000,0.000000000
PN-C01-001-A0011,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,20.000000000,22.000000000,2.000000000,0.027493748,0.000000000,0.000000000
PN-C01-001-A0012,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,22.000000000,24.000000000,2.000000000,0.029627674,0.000000000,0.000000000
PN-C01-001-A0013,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,24.000000000,26.000000000,2.000000000,0.027999068,0.000000000,0.000000000
PN-C01-001-A0014,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,26.000000000,28.000000000,2.000000000,0.029351838,0.000000000,0.000000000
PN-C01-001-A0015,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,28.000000000,30.000000000,2.000000000,0.027534894,0.000000000,0.000000000
PN-C01-001-A0016,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,30.000000000,32.000000000,2.000000000,0.028495386,0.000000000,0.000000000
PN-C01-001-A0017,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,32.000000000,34.000000000,2.000000000,0.028890628,0.000000000,0.000000000
PN-C01-001-A0018,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,34.000000000,36.000000000,2.000000000,0.028767577,0.000000000,0.000000000
PN-C01-001-A0019,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,36.000000000,38.000000000,2.000000000,0.031816338,0.000000000,0.000000000
PN-C01-001-A0020,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,38.000000000,40.000000000,2.000000000,0.032072076,0.000000000,0.000000000
PN-C01-001-A0021,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,40.000000000,42.000000000,2.000000000,0.027591306,0.000000000,0.000000000
PN-C01-001-A0022,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,42.000000000,44.000000000,2.000000000,0.028310416,0.000000000,0.000000000
PN-C01-001-A0023,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,44.000000000,46.000000000,2.000000000,0.030203980,0.000000000,0.000000000
PN-C01-001-A0024,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,46.000000000,48.000000000,2.000000000,0.031857925,0.000000000,0.000000000
PN-C01-001-A0025,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,48.000000000,50.000000000,2.000000000,0.031996541,0.000000000,0.000000000
PN-C01-001-A0026,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,50.000000000,52.000000000,2.000000000,0.032311490,0.000000000,0.000000000
