hole_id,dataset_id,project_id,campaign_id,x,y,z,azimuth_deg,dip_deg,final_depth_m
PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,242400.017144736,8196192.494354523,3332.000000000,39.999999997,-84.000000000,238.000546140
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,242619.179978317,8196211.668617927,3404.000000000,13.434948823,-84.000000000,309.357679495
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,242838.342811897,8196230.842881332,3492.000000000,336.565051178,-84.000000000,396.875606288
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,243057.505645477,8196250.017144737,3524.000000000,309.999999997,-84.000000000,428.948750051
PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,242380.842881332,8196411.657188104,3270.000000000,66.565051182,-84.000000000,220.000000000
PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,242600.005714912,8196430.831451507,3336.000000000,39.999999994,-84.000000000,241.328201212
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,242819.168548492,8196450.005714912,3436.000000000,309.999999997,-84.000000000,340.780390749
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,243038.331382073,8196469.179978317,3548.000000000,283.434948823,-84.000000000,452.568832428
PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,242361.668617927,8196630.820021683,3246.000000000,103.434948823,-84.000000000,220.000000000
PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,242580.831451508,8196649.994285088,3298.000000000,129.999999997,-84.000000000,220.000000000
PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,242799.994285088,8196669.168548493,3336.000000000,219.999999994,-84.000000000,241.328201212
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,243019.157118668,8196688.342811896,3462.000000000,246.565051182,-84.000000000,367.039949427
PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,242342.494354523,8196849.982855263,3206.000000000,129.999999997,-79.823980860,220.000000000
PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,242561.657188103,8196869.157118668,3244.000000000,156.565051178,-84.000000000,220.000000000
PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,242780.820021683,8196888.331382073,3304.000000000,193.434948823,-84.000000000,220.000000000
PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,242999.982855264,8196907.505645477,3398.000000000,219.999999997,-84.000000000,303.638991235
PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,242457.984748332,8196333.081540758,3318.000000000,48.130102354,-59.268000413,245.793736795
PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,242587.490059084,8196344.411787315,3360.000000000,28.690067526,-71.155114854,272.667751401
PN-C02-003,DS02,pampa_norte,CAMPAIGN_02,242716.995369836,8196355.742033872,3400.000000000,355.000000000,-76.623247170,307.860139207
PN-C02-004,DS02,pampa_norte,CAMPAIGN_02,242846.500680588,8196367.072280429,3482.000000000,321.309932474,-77.901479234,390.450816067
PN-C02-005,DS02,pampa_norte,CAMPAIGN_02,242976.005991340,8196378.402526987,3546.000000000,301.869897646,-76.032559597,458.943374745
PN-C02-006,DS02,pampa_norte,CAMPAIGN_02,243105.511302092,8196389.732773543,3526.000000000,291.565051177,-70.626300249,449.328860217
PN-C02-007,DS02,pampa_norte,CAMPAIGN_02,242446.654501775,8196462.586851509,3286.000000000,70.963756532,-58.654608656,220.000000000
PN-C02-008,DS02,pampa_norte,CAMPAIGN_02,242576.159812527,8196473.917098067,3320.000000000,58.434948823,-75.282550015,226.631145192
PN-C02-009,DS02,pampa_norte,CAMPAIGN_02,242705.665123279,8196485.247344624,3370.000000000,355.000000000,-84.841448220,271.878422163
PN-C02-010,DS02,pampa_norte,CAMPAIGN_02,242835.170434031,8196496.577591181,3432.000000000,291.565051178,-81.085981757,336.398738448
PN-C02-011,DS02,pampa_norte,CAMPAIGN_02,242964.675744782,8196507.907837738,3476.000000000,279.036243468,-75.980411040,386.885899068
PN-C02-012,DS02,pampa_norte,CAMPAIGN_02,243094.181055534,8196519.238084296,3496.000000000,274.462322208,-70.872217473,416.985151629
PN-C02-013,DS02,pampa_norte,CAMPAIGN_02,242435.324255218,8196592.092162262,3276.000000000,99.036243468,-56.614279719,220.000000000
PN-C02-014,DS02,pampa_norte,CAMPAIGN_02,242564.829565969,8196603.422408819,3302.000000000,111.565051178,-73.584126936,220.000000000
