density_sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,density_t_m3
PN-C01-001-D0001,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,12.941047795,13.941047795,1.000000000,2.719815917
PN-C01-001-D0002,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,37.941047795,38.941047795,1.000000000,2.732976970
PN-C01-001-D0003,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,62.941047795,63.941047795,1.000000000,2.688023308
PN-C01-001-D0004,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,87.941047795,88.941047795,1.000000000,2.684925277
PN-C01-001-D0005,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,112.941047795,113.941047795,1.000000000,2.692828521
PN-C01-001-D0006,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,137.941047795,138.941047795,1.000000000,2.716338129
PN-C01-001-D0007,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,162.941047795,163.941047795,1.000000000,2.717115357
PN-C01-001-D0008,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,187.941047795,188.941047795,1.000000000,2.727994357
PN-C01-001-D0009,PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,212.941047795,213.941047795,1.000000000,2.699218142
PN-C01-002-D0001,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,19.420780230,20.420780230,1.000000000,2.690624487
PN-C01-002-D0002,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,44.420780230,45.420780230,1.000000000,2.713610461
PN-C01-002-D0003,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,69.420780230,70.420780230,1.000000000,2.696099736
PN-C01-002-D0004,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,94.420780230,95.420780230,1.000000000,2.704256088
PN-C01-002-D0005,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,119.420780230,120.420780230,1.000000000,2.720989204
PN-C01-002-D0006,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,144.420780230,145.420780230,1.000000000,2.700146326
PN-C01-002-D0007,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,169.420780230,170.420780230,1.000000000,2.633223673
PN-C01-002-D0008,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,194.420780230,195.420780230,1.000000000,2.636840284
PN-C01-002-D0009,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,219.420780230,220.420780230,1.000000000,2.622544583
PN-C01-002-D0010,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,244.420780230,245.420780230,1.000000000,2.654809115
PN-C01-002-D0011,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,269.420780230,270.420780230,1.000000000,2.637104146
PN-C01-002-D0012,PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,294.420780230,295.420780230,1.000000000,2.619238265
PN-C01-003-D0001,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,7.521388467,8.521388467,1.000000000,2.134553507
PN-C01-003-D0002,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,32.521388467,33.521388467,1.000000000,2.717539567
PN-C01-003-D0003,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,57.521388467,58.521388467,1.000000000,2.706649462
PN-C01-003-D0004,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,82.521388467,83.521388467,1.000000000,2.723590561
PN-C01-003-D0005,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,107.521388467,108.521388467,1.000000000,2.691133557
PN-C01-003-D0006,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,132.521388467,133.521388467,1.000000000,2.686856801
PN-C01-003-D0007,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,157.521388467,158.521388467,1.000000000,2.695642746
PN-C01-003-D0008,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,182.521388467,183.521388467,1.000000000,2.721529376
PN-C01-003-D0009,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,207.521388467,208.521388467,1.000000000,2.716502686
PN-C01-003-D0010,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,232.521388467,233.521388467,1.000000000,2.724105272
PN-C01-003-D0011,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,257.521388467,258.521388467,1.000000000,2.645625711
PN-C01-003-D0012,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,282.521388467,283.521388467,1.000000000,2.667663318
PN-C01-003-D0013,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,307.521388467,308.521388467,1.000000000,2.636229665
PN-C01-003-D0014,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,332.521388467,333.521388467,1.000000000,2.627529225
PN-C01-003-D0015,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,357.521388467,358.521388467,1.000000000,2.616703073
PN-C01-003-D0016,PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,382.521388467,383.521388467,1.000000000,2.644048150
PN-C01-004-D0001,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,21.054164900,22.054164900,1.000000000,2.697182647
PN-C01-004-D0002,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,46.054164900,47.054164900,1.000000000,2.707122737
PN-C01-004-D0003,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,71.054164900,72.054164900,1.000000000,2.711197141
PN-C01-004-D0004,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,96.054164900,97.054164900,1.000000000,2.693930748
PN-C01-004-D0005,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,121.054164900,122.054164900,1.000000000,2.654885863
PN-C01-004-D0006,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,146.054164900,147.054164900,1.000000000,2.673938450
PN-C01-004-D0007,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,171.054164900,172.054164900,1.000000000,2.732677094
PN-C01-004-D0008,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,196.054164900,197.054164900,1.000000000,2.727628023
PN-C01-004-D0009,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,221.054164900,222.054164900,1.000000000,2.693148045
PN-C01-004-D0010,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,246.054164900,247.054164900,1.000000000,2.734953115
PN-C01-004-D0011,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,271.054164900,272.054164900,1.000000000,2.720575801
PN-C01-004-D0012,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,296.054164900,297.054164900,1.000000000,2.736522552
PN-C01-004-D0013,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,321.054164900,322.054164900,1.000000000,2.690798714
PN-C01-004-D0014,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,346.054164900,347.054164900,1.000000000,2.675111270
PN-C01-004-D0015,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,371.054164900,372.054164900,1.000000000,2.710646505
PN-C01-004-D0016,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,396.054164900,397.054164900,1.000000000,2.686498156
PN-C01-004-D0017,PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,421.054164900,422.054164900,1.000000000,2.713550074
PN-C01-005-D0001,PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,11.712303333,12.712303333,1.000000000,2.626338460
PN-C01-005-D0002,PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,36.712303333,37.712303333,1.000000000,2.643837213
PN-C01-005-D0003,PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,61.712303333,62.712303333,1.000000000,2.631068182
PN-C01-005-D0004,PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,86.712303333,87.712303333,1.000000000,2.618867606
PN-C01-005-D0005,PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,111.712303333,112.712303333,1.000000000,2.645831429
PN-C01-005-D0006,PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,136.712303333,137.712303333,1.000000000,2.642632550
PN-C01-005-D0007,PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,161.712303333,162.712303333,1.000000000,2.697513552
PN-C01-005-D0008,PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,186.712303333,187.712303333,1.000000000,2.629976380
