hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,lith_code
PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,10.000000000,238.000546140,228.000546140,VOL
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,0.000000000,12.000000000,12.000000000,OVB
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,12.000000000,167.000000000,155.000000000,VOL
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,167.000000000,309.357679495,142.357679495,POR
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,10.000000000,242.000000000,232.000000000,VOL
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,242.000000000,396.875606288,154.875606288,POR
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,10.000000000,428.948750051,418.948750051,VOL
PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,10.000000000,220.000000000,210.000000000,POR
PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,10.000000000,241.328201212,231.328201212,POR
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,10.000000000,61.000000000,51.000000000,VOL
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,61.000000000,340.780390749,279.780390749,POR
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,10.000000000,253.000000000,243.000000000,VOL
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,253.000000000,452.568832428,199.568832428,POR
PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,10.000000000,220.000000000,210.000000000,POR
PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,10.000000000,220.000000000,210.000000000,POR
PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,10.000000000,241.328201212,231.328201212,POR
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,10.000000000,174.000000000,164.000000000,VOL
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,174.000000000,367.039949427,193.039949427,POR
PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,8.000000000,220.000000000,212.000000000,VOL
PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,10.000000000,37.000000000,27.000000000,VOL
PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,37.000000000,177.000000000,140.000000000,POR
PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,177.000000000,220.000000000,43.000000000,VOL
PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,0.000000000,1.000000000,1.000000000,OVB
PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,1.000000000,2.000000000,1.000000000,AIR
PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,2.000000000,12.000000000,10.000000000,OVB
